Cases,medianIncome,youthUnemployment2013,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,foreignBorn,reportedCrimeVandalism,youngUnskilled,population,populationShare65plus,refugees
132,0,191284,10.0,7.9,-1.5,1100,-1.7,30.0,717,72.5,9.5,10.0,7.8,12270,24.0,21.1
133,0,192300,6.9,5.6,-1.0,814,-2.0,32.3,252,74.6,12.9,13.8,9.9,14369,26.9,21.4
134,6,178772,10.2,10.1,1.3,1437,9.2,52.7,980,99.5,39.1,21.0,7.0,312994,15.4,25.3
135,0,184210,5.4,4.9,-1.0,1223,-3.1,23.3,1001,73.0,9.4,11.4,9.4,10061,24.9,19.2
136,0,188912,12.9,6.3,-1.4,285,-6.4,25.4,1332,62.6,8.3,8.0,9.8,3155,25.2,31.1
137,0,190391,12.8,9.0,-0.7,842,0.2,30.1,684,76.5,11.7,11.9,8.4,23870,25.2,15.0
138,1,197883,7.9,5.6,-0.6,714,-0.2,28.6,177,65.0,12.6,9.4,11.4,33753,21.5,11.2
139,0,180145,10.8,8.7,1.8,725,-0.9,21.4,703,76.2,21.0,8.7,12.0,9515,25.8,29.1
140,0,166192,10.2,8.7,-1.8,607,-5.8,24.6,1376,55.6,13.5,14.5,12.1,8892,27.5,22.1
141,0,199966,10.7,7.2,-2.1,657,2.6,29.1,1083,79.6,9.9,16.8,9.8,26313,21.3,11.5
142,0,193409,10.3,7.4,-0.8,640,-0.8,32.2,823,84.6,7.4,7.1,12.0,19998,24.7,4.0
143,0,189606,13.5,9.8,-0.3,834,0.6,28.8,694,83.9,14.3,11.7,12.2,42187,21.7,30.7
144,0,203738,8.5,5.6,-1.1,753,-0.7,30.0,1559,87.5,10.8,6.2,10.7,7039,22.0,8.4
145,0,184231,9.9,6.2,-1.8,529,-0.4,23.2,979,58.7,10.7,8.7,11.9,10205,24.2,6.5
146,0,167221,16.7,9.7,-1.4,766,-4.1,20.5,4336,80.8,10.0,11.2,10.7,3656,29.3,12.5
147,2,230231,4.4,4.4,-1.3,762,3.6,50.1,3436,95.3,17.8,14.3,6.8,61978,16.1,10.7
148,0,195577,12.2,7.2,-1.7,965,-0.1,27.2,824,70.2,11.2,10.6,10.1,12949,24.8,19.7
149,0,202993,8.2,5.3,0.0,466,4.6,38.4,884,65.9,6.7,6.7,7.5,14368,24.5,5.7
150,1,255022,3.2,4.2,0.0,719,10.2,55.0,59,98.8,23.0,17.9,6.9,94423,15.4,6.2
151,0,194138,11.6,7.9,-0.9,433,0.2,31.8,448,76.6,12.5,10.0,11.4,10399,25.2,23.2
152,1,189217,12.8,7.7,-0.4,1355,-2.5,23.4,2345,78.9,11.6,13.2,12.3,5608,25.7,23.1
153,0,177226,11.1,9.1,-0.4,464,-2.5,23.2,1834,47.9,8.2,4.4,10.8,9491,25.1,24.2
154,0,181573,14.5,8.9,-0.4,514,-3.7,25.1,4282,52.9,8.0,5.3,13.6,7006,26.2,27.6
155,4,195771,11.8,10.3,0.8,1176,4.4,35.8,643,90.1,20.6,12.4,9.2,133749,18.8,30.7
156,0,198895,5.4,4.6,-0.1,1101,2.4,28.5,233,56.7,11.9,13.8,12.7,56845,25.5,8.2
157,0,182744,10.0,8.3,-3.5,527,-4.3,22.5,5726,56.8,8.4,7.2,7.9,4175,25.5,59.7
158,0,181635,10.6,7.8,-0.3,811,-0.3,26.8,580,77.5,14.2,8.0,11.2,19489,24.9,16.0
159,0,250676,6.6,4.0,0.0,515,5.4,32.8,678,75.4,12.6,8.6,12.5,9523,16.4,5.7
160,1,206076,10.2,7.1,-0.9,1035,4.1,34.4,446,81.9,14.9,16.3,9.4,53038,23.1,18.6
161,1,209115,6.8,6.1,0.6,1691,5.1,29.2,557,80.3,18.4,18.7,15.1,26796,21.1,8.6
162,0,195276,12.2,8.6,0.9,1186,0.0,28.3,789,82.5,16.4,12.5,8.3,29516,21.7,42.5
163,0,182279,13.6,9.0,-0.3,847,-4.0,25.7,1099,61.5,9.8,10.7,10.6,5785,25.7,48.0
164,0,182967,18.8,12.3,-0.8,581,-2.0,25.4,764,79.3,23.6,10.1,10.1,12902,26.1,12.3
165,0,171233,11.9,8.9,-0.1,1095,-2.0,28.3,1195,80.9,9.0,8.1,13.8,6849,25.1,31.3
166,0,202605,4.8,4.0,-1.3,512,-1.9,33.0,1451,37.3,7.7,7.3,11.1,15036,26.7,9.2
167,0,185644,10.8,8.3,0.1,818,0.5,25.7,1081,75.8,15.4,11.3,11.1,12713,24.2,24.6
168,0,206153,12.9,6.5,0.1,706,-0.4,29.9,412,84.4,13.9,7.6,8.6,26212,23.4,11.0
169,0,185623,14.6,9.3,0.2,396,-2.5,22.6,500,63.4,5.4,4.1,10.9,11354,26.3,31.3
170,0,196820,11.7,8.1,0.5,965,2.1,26.3,192,97.1,19.4,12.4,11.7,11403,27.4,11.7
171,0,174747,10.7,8.5,-5.1,619,-2.0,27.5,1288,48.7,14.2,7.4,7.0,6299,31.7,12.2
172,0,231129,5.5,4.6,-0.7,669,6.9,47.2,238,99.0,18.9,10.0,7.4,36147,16.5,6.3
173,0,174997,10.4,9.1,1.0,1191,2.4,21.9,270,80.2,24.1,13.2,19.1,7139,21.2,23.8
174,0,201540,10.9,7.5,-1.6,584,0.9,34.1,565,82.2,5.7,9.7,7.1,41278,21.8,5.3
175,0,169916,15.0,10.9,-2.1,696,-3.9,21.6,1099,44.9,10.1,5.1,12.4,5458,28.5,32.1
176,0,190132,7.0,6.4,-1.2,401,-2.3,30.2,1953,45.6,7.9,4.3,10.9,6738,24.0,26.6
177,0,185154,16.9,11.6,1.3,829,-2.2,32.3,372,75.6,13.9,10.1,9.9,27871,24.7,23.1
178,0,180598,7.6,6.5,-1.3,873,-0.8,31.0,1397,68.1,5.9,8.1,9.6,10766,30.5,4.1
179,0,190941,14.3,8.6,0.1,1112,1.9,28.6,622,68.7,11.6,10.7,12.3,21769,23.0,20.1
180,1,239408,4.1,4.4,0.1,694,5.4,40.9,450,98.8,21.5,18.3,13.5,16001,17.0,11.6
181,3,197346,15.4,11.0,-0.1,789,1.0,30.1,847,85.3,14.4,9.3,10.6,37250,23.5,41.9
182,1,214359,5.6,6.0,-0.2,1572,13.0,34.2,3014,85.5,34.7,39.2,13.2,43372,14.9,11.8
183,0,181278,8.7,6.6,-0.9,718,-2.1,38.9,1240,69.0,11.3,11.3,11.0,18951,30.9,13.3
184,0,192926,8.9,5.9,-0.8,810,1.7,27.3,116,62.2,11.1,12.1,11.9,18401,21.9,6.3
185,0,197300,7.7,7.3,-1.8,910,0.3,30.7,956,74.8,14.5,12.4,10.4,18580,21.2,17.8
186,0,199070,11.7,7.7,-2.4,761,0.2,35.7,1087,79.4,8.2,7.3,7.8,71988,22.4,20.9
187,0,181208,10.1,7.3,-0.4,816,-4.6,27.1,2298,61.1,17.2,12.6,16.6,4411,27.9,26.0
188,0,203544,11.7,7.7,0.3,739,1.6,29.6,17,72.8,13.6,10.8,11.1,15025,19.6,1.8
189,0,208335,8.9,7.3,-1.1,1022,4.4,39.0,398,85.2,15.5,9.6,6.7,52859,18.7,17.5
190,0,193990,6.7,5.6,-1.8,795,-0.4,24.8,1876,68.1,9.7,7.7,11.3,10691,25.9,28.5
191,2,176100,18.5,12.1,-1.1,1009,-4.5,29.2,1814,62.8,10.6,10.9,10.0,19623,26.9,36.3
